DATE	A01	A02	A03	B01	B02	B03
220204	0/45	0/45	N/A	0/45	0/45	N/A
220212	3/45	1/45	N/A	0/45	0/45	N/A
220213	5/45	1/45	N/A	2/45	0/45	N/A
220215	16/45	1/45	N/A	2/45	1/45	N/A
220216	32/45	5/45	N/A	12/45	2/45	N/A
220216	45/45	30/45	N/A	33/45	7/45	N/A
220217	45/45	42/45	N/A	42/45	8/45	N/A
220218	45/45	45/45	N/A	45/45	45/45	N/A
220221	45/45 WL1	45/45 WL2	N/A	45/45 WL1	45/45 WL1	N/A
220222	45/45 WL1	45/45 WL2	N/A	45/45 WL2	45/45 WL1	N/A
220223	45/45 WL5	45/45 WL5	N/A	45/45 WL5	44/45 WL3	N/A
220224	45/45 WL7	45/45 WL7	N/A	45/45 WL9	45/45 WL7	N/A
220225	45/45 WL13	45/45 WL13	N/A	45/45 WL16	45/45 WL13	N/A
220226	45/45 WL16	45/45 WL15	N/A	45/45 WL14	45/45 WL14	N/A
220228	45/45 WL16	45/45 WL14	N/A	45/45 WL15	45/45 WL14	N/A
220301	45/45 WL16	45/45 WL13	N/A	45/45 WL16	45/45 WL15	N/A
220302	45/45 WL16	45/45 WL13	N/A	45/45 WL16	45/45 WL16	N/A
220304	45/45 WL15	45/45 WL13	N/A	45/45 WL16	45/45 WL16	N/A
220305	45/45 WL15	45/45 WL13	N/A	45/45 WL15	45/45 WL16	N/A
220307	45/45 WL15	45/45 WL14	N/A	45/45 WL15	45/45 WL16	N/A
220308	45/45 WL15	45/45 WL14	N/A	45/45 WL15	45/45 WL15	N/A
220309	45/45 WL14	45/45 WL14	N/A	45/45 WL15	45/45 WL15	N/A
220310	45/45 WL13	45/45 WL12	N/A	45/45 WL15	45/45 WL15	N/A
220311	45/45 WL12	44/45 WL12	N/A	45/45 WL15	45/45 WL14	N/A
220312	44/45 WL12	44/45 WL11	2/30	45/45 WL14	45/45 WL13	1/30
220314	45/45 WL10	44/45 WL10	6/30	45/45 WL14	45/45 WL11	2/30
220316	45/45 WL10	45/45 WL9	9/30	45/45 WL13	45/45 WL10	5/30
220317	45/45 WL10	45/45 WL8	11/30	45/45 WL11	45/45 WL8	8/30
220321	45/45 WL7	45/45 WL6	14/30	45/45 WL10	45/45 WL6	16/30
220323	44/45 WL6	45/45 WL6	21/30	45/45 WL8	45/45 WL4	21/30
220324	45/45 WL5	45/45 WL7	25/30	45/45 WL6	45/45 WL4	23/30
220328	45/45 WL5	45/45 WL6	30/30	45/45 WL5	45/45 WL1	26/30
220328	45/45 WL4	45/45 WL6	30/30 WL1	45/45 WL5	45/45 WL1	30/30
220330	43/45 WL5	45/45 WL5	29/30 WL4	44/45 WL6	45/45 WL4	29/30 WL3
220331	45/45 WL4	45/45 WL4	30/30 WL4	45/45 WL5	44/45 WL4	30/30 WL3
220404	45/45 WL5	45/45 WL3	30/30 WL4	45/45 WL5	45/45 WL3	30/30 WL3
220405	45/45 WL4	45/45 WL3	29/30 WL4	45/45 WL5	45/45 WL2	30/30 WL3
220406	45/45 WL4	45/45 WL4	30/30 WL3	45/45 WL5	45/45 WL2	30/30 WL3
220407	45/45 WL4	45/45 WL3	30/30 WL3	45/45 WL5	45/45 WL3	29/30 WL3
220408	45/45 WL2	45/45 WL3	30/30 WL3	45/45 WL4	45/45 WL2	30/30 WL2
220410	45/45 WL2	45/45 WL3	30/30 WL3	45/45 WL4	45/45 WL1	30/30 WL2
