DATE	A01	A02	B01	B02
220204	0/50	0/50	0/50	0/50
220213	4/50	1/50	0/50	0/50
220214	5/50	1/50	0/50	0/50
220215	8/50	1/50	0/50	0/50
220216	12/50	3/50	2/50	1/50
220216	20/50	7/50	4/50	1/50
220217	23/50	7/50	5/50	1/50
220218	50/50	23/50	13/50	4/50
220219	50/50	24/50	13/50	5/50
220221	50/50 WL1	35/50	14/50	6/50
220222	50/50 WL1	36/50	14/50	6/50
220223	49/50 WL2	47/50	20/50	7/50
220224	50/50 WL1	50/50	24/50	6/50
220225	49/50 WL4	49/50 WL4	46/50	16/50
220226	50/50 WL6	50/50 WL8	50/50 WL2	50/50 WL2
220227	50/50 WL6	50/50 WL7	50/50 WL6	49/50 WL4
220228	50/50 WL7	50/50 WL7	50/50 WL6	50/50 WL4
220301	50/50 WL6	50/50 WL7	50/50 WL6	50/50 WL4
220302	50/50 WL5	50/50 WL6	50/50 WL6	49/50 WL4
220303	50/50 WL5	50/50 WL6	50/50 WL6	50/50 WL2
220304	50/50 WL6	50/50 WL6	50/50 WL4	50/50 WL4
220305	50/50 WL6	50/50 WL6	50/50 WL5	50/50 WL3
220306	50/50 WL6	50/50 WL6	50/50 WL4	50/50 WL3
220308	50/50 WL6	50/50 WL6	50/50 WL4	50/50 WL4
220309	50/50 WL6	50/50 WL6	49/50 WL4	50/50 WL4
220310	50/50 WL6	50/50 WL6	50/50 WL4	50/50 WL4
220311	50/50 WL6	49/50 WL7	50/50 WL4	50/50 WL4
220312	50/50 WL6	50/50 WL6	50/50 WL4	50/50 WL4
220314	50/50 WL6	49/50 WL6	50/50 WL4	50/50 WL4
220316	50/50 WL6	50/50 WL4	50/50 WL4	49/50 WL3
220317	50/50 WL6	49/50 WL5	50/50 WL4	49/50 WL2
220321	50/50 WL5	50/50 WL5	50/50 WL3	50/50 WL1
220323	50/50 WL5	50/50 WL5	50/50 WL3	49/50 WL2
220324	50/50 WL5	50/50 WL5	50/50 WL2	50/50 WL2
220328	50/50 WL5	50/50 WL5	50/50 WL2	50/50 WL3
220328	50/50 WL6	50/50 WL6	50/50 WL3	50/50 WL4
220330	49/50 WL7	47/50 WL8	48/50 WL5	48/50 WL4
220331	50/50 WL7	49/50 WL7	50/50 WL4	50/50 WL4
220404	50/50 WL7	50/50 WL5	50/50 WL5	50/50 WL5
220405	50/50 WL7	50/50 WL5	49/50 WL6	49/50 WL5
220406	50/50 WL5	50/50 WL5	50/50 WL4	50/50 WL4
220407	50/50 WL4	50/50 WL4	50/50 WL3	50/50 WL4
220408	50/50 WL3	50/50 WL3	50/50 WL3	50/50 WL3
