DATE	A01	A02
220204	0/35	0/35
220213	3/35	0/35
220214	4/35	0/35
220215	12/35	5/35
220216	17/35	6/35
220216	21/35	5/35
220217	21/35	6/35
220218	21/35	7/35
220221	20/35	9/35
220222	21/35	10/35
220223	28/35	13/35
220224	31/35	13/35
220225	35/35	14/35
220226	35/35 WL1	15/35
220227	35/35 WL1	16/35
220301	34/35 WL1	16/35
220302	35/35	16/35
220303	33/35	16/35
220304	32/35	16/35
220308	31/35	16/35
220311	31/35	15/35
220314	31/35	16/35
220316	32/35	15/35
220324	31/35	15/35
220328	30/35	15/35
220328	32/35	16/35
220330	32/35	19/35
220405	32/35	18/35
220406	31/35	19/35
