DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
220225	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0
220226	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0
220227	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	2
220301	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	3
220302	1	0	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	2	2	0	3
220303	1	0	0	1	2	0	0	0	1	0	2	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	6	0	1	0	0	5	2	0	5
220304	1	1	0	1	2	0	0	0	1	0	2	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	6	0	1	0	0	6	2	0	5
220305	1	1	0	1	2	0	0	0	1	0	2	3	0	0	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	6	0	1	0	0	7	2	0	5
220307	1	1	0	1	2	0	0	0	1	0	2	3	0	1	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	6	0	1	0	0	7	2	0	6
220308	1	1	0	1	2	0	1	0	1	0	2	3	0	2	1	0	1	1	0	0	0	2	0	1	0	0	2	0	0	0	1	0	6	0	1	0	0	7	3	0	6
220309	1	1	0	1	2	0	1	0	1	0	3	4	0	2	1	0	1	1	0	0	0	3	0	1	0	0	2	0	0	0	1	0	7	0	1	0	0	7	3	0	6
220310	1	1	0	1	2	0	2	0	1	0	3	4	0	2	1	0	1	1	0	0	0	3	0	1	0	0	2	0	0	0	1	0	7	0	1	0	0	7	3	0	6
220311	1	1	0	1	2	0	2	0	1	0	3	4	0	2	1	0	1	1	0	0	0	3	0	1	0	0	3	0	0	0	1	0	7	0	2	0	0	7	3	0	7
220312	1	1	0	1	2	0	3	0	1	0	3	4	0	2	1	0	1	1	0	0	0	4	0	1	0	0	3	0	0	0	1	0	7	0	2	0	0	7	3	0	7
220314	1	3	0	1	2	0	3	0	1	0	3	4	0	2	1	0	1	1	0	0	0	4	0	1	0	0	4	0	0	0	1	0	7	0	2	0	0	7	3	0	8
220316	1	3	0	1	2	0	3	0	1	0	2	5	0	2	1	0	1	1	0	0	0	4	0	1	0	2	4	0	0	0	1	0	7	0	2	0	0	10	3	0	8
220317	2	4	0	1	2	0	3	0	1	0	2	5	0	2	1	0	2	1	0	0	0	4	0	1	0	2	4	0	0	0	1	0	7	0	2	0	0	10	3	0	9
220321	2	6	0	1	2	0	5	0	1	0	2	5	0	2	1	0	2	2	0	0	0	4	0	1	0	2	5	0	0	0	1	0	7	0	2	0	0	10	3	0	10
220323	2	6	0	1	2	0	5	0	1	0	3	5	0	2	1	0	2	2	0	0	0	4	0	1	0	2	5	0	0	0	1	0	8	0	2	0	0	11	3	0	10
