DATE	A01
220204	0/200
220212	1/200
220213	5/200
220215	7/200
220216	8/200
220216	23/200
220217	30/200
220218	54/200
220219	53/200
220221	62/200
220222	63/200
220223	67/200
220224	74/200
220225	118/200
220226	153/200
220228	155/200
220301	156/200
220302	155/200
220303	157/200
220304	158/200
220305	160/200
220306	161/200
220308	160/200
220311	161/200
220316	160/200
220317	159/200
220321	164/200
220323	165/200
220324	168/200
220328	175/200
220328	197/200
220330	192/200 WL7
220331	197/200
220404	192/200
220405	195/200
220406	198/200
220407	200/200
220408	196/200
220417	190/199
220417	0/0 WL13
220625	33/0 WL6
