DATE	001	002	003	004	006	007	008	009	011	012	013	015	016	017	018	019	020	022	023	024	027	028	029	030	031	036	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00
220204	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	0/15	0/15	0/15	0/0	0/15	0/15	N/A	N/A	N/A
220212	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	0/15	0/15	0/15	0/0	1/15	0/15	N/A	N/A	N/A
220213	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	1/15	0/15	2/15	0/0	5/15	1/15	N/A	N/A	N/A
220215	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	1/15	0/15	2/15	0/0	6/15	1/15	N/A	N/A	N/A
220216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	1/15	0/15	2/15	0/0	7/15	2/15	N/A	N/A	N/A
220216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	2/15	0/15	3/15	0/0	9/15	3/15	N/A	N/A	N/A
220217	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/15	1/15	0/15	5/15	0/0	12/15	4/15	N/A	N/A	N/A
220218	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15	15/15	0/0	15/15	15/15	N/A	N/A	N/A
220221	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15	15/15 WL1	0/0	15/15 WL1	15/15 WL1	N/A	N/A	N/A
220222	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL1	0/0	15/15 WL1	15/15 WL1	N/A	N/A	N/A
220223	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL2	0/15	15/15 WL1	15/15 WL1	N/A	N/A	N/A
220224	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL1	1/15	15/15 WL1	15/15 WL1	N/A	N/A	N/A
220225	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL1	5/15	15/15 WL1	15/15 WL1	N/A	N/A	N/A
220226	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15 WL1	15/15 WL1	15/15 WL3	15/15 WL2	15/15 WL2	15/15 WL2	15/15 WL2	N/A	N/A	N/A
220227	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15 WL2	15/15 WL1	15/15 WL3	15/15 WL3	15/15 WL2	15/15 WL2	15/15 WL2	N/A	N/A	N/A
220302	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15 WL2	15/15 WL2	15/15 WL3	15/15 WL3	15/15 WL2	15/15 WL2	15/15 WL2	N/A	N/A	N/A
220303	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15 WL2	15/15 WL2	15/15 WL3	15/15 WL2	15/15 WL2	15/15 WL2	15/15 WL2	0/15	1/15	0/0
220304	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	15/15	2/15	10/15	0/0 WL1
220305	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	14/15 WL1	15/15 WL1	15/15 WL1	15/15	2/15	12/15	0/0 WL1
220306	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15	2/15	12/15	0/0 WL1
220307	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15	2/15	12/15	0/0 WL1
220311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15 WL1	2/15	12/15	0/0 WL1
220316	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14/15	14/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15 WL1	3/15	12/15	3/15
220317	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14/15	14/15	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15 WL1	5/15	12/15	11/15
220321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	5/15	14/15	15/15
220323	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15	15/15 WL1	15/15 WL2	15/15 WL2	15/15 WL1	15/15 WL1	6/15	15/15	15/15
220324	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL2	15/15 WL1	15/15	8/15	15/15	15/15
220328	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL3	15/15 WL1	15/15 WL1	14/15	11/15	13/15	15/15
