DATE	A01	A02	B01	B02
220204	0/5	0/5	0/0	0/0
220212	1/5	2/5	0/0	0/0
220214	2/5	2/5	0/0	0/0
220215	3/5	3/5	0/0	0/0
220216	5/5	5/5	0/0	0/0
220222	5/5 WL1	5/5	0/0	0/0
220223	5/5 WL2	5/5	0/0	0/0
220224	5/5 WL2	5/5 WL2	0/0	0/0
220225	5/5 WL5	5/5 WL4	0/0	0/0
220226	5/5 WL7	5/5 WL6	0/0	0/0
220301	5/5 WL7	5/5 WL6	0/0 WL2	0/0 WL2
220302	5/5 WL7	5/5 WL6	0/0 WL2	0/0 WL3
220304	5/5 WL7	5/5 WL6	0/0 WL3	0/0 WL3
220305	5/5 WL7	5/5 WL6	0/0 WL3	0/0 WL2
220307	5/5 WL7	5/5 WL6	0/0 WL3	0/0 WL1
220311	5/5 WL6	5/5 WL6	0/0 WL3	0/0 WL1
220314	5/5 WL7	5/5 WL6	0/0 WL3	0/0 WL1
220316	5/5 WL8	5/5 WL6	0/0 WL2	0/0 WL1
220317	5/5 WL7	5/5 WL5	0/0 WL2	0/0 WL1
220328	5/5 WL7	5/5 WL5	0/0 WL2	0/0 WL2
220328	5/5 WL7	5/5 WL7	0/0 WL3	0/0 WL3
220330	5/5 WL8	5/5 WL6	0/0 WL4	0/0 WL4
220331	5/5 WL8	5/5 WL6	0/0 WL3	0/0 WL4
