DATE	A01	A02	B01	B02	C01	C02	C03
220204	0/40	N/A	0/40	N/A	0/75	0/71	N/A
220212	0/34	N/A	0/40	N/A	1/75	0/71	N/A
220213	1/34	N/A	7/40	N/A	4/75	0/71	N/A
220215	4/34	N/A	13/40	N/A	26/75	6/71	N/A
220216	15/40	N/A	39/40	N/A	75/75	44/71	N/A
220216	40/40	N/A	40/40	N/A	75/75	71/71	N/A
220221	40/40	N/A	40/40 WL1	N/A	75/75 WL1	71/71 WL1	N/A
220222	40/40	N/A	40/40 WL1	N/A	75/75 WL3	71/71 WL2	N/A
220223	40/40 WL8	N/A	40/40 WL6	N/A	74/75 WL11	70/71 WL10	N/A
220224	40/40 WL11	N/A	40/40 WL13	N/A	75/75 WL15	71/71 WL15	N/A
220225	40/40 WL15	N/A	40/40 WL27	N/A	75/75 WL35	71/71 WL36	N/A
220226	40/40 WL18	N/A	40/40 WL26	N/A	75/75 WL37	71/71 WL40	N/A
220227	40/40 WL17	N/A	40/40 WL26	N/A	75/75 WL38	71/71 WL40	N/A
220301	40/40 WL16	N/A	40/40 WL26	N/A	75/75 WL37	71/71 WL41	N/A
220302	40/40 WL16	N/A	40/40 WL27	N/A	75/75 WL37	71/71 WL40	N/A
220303	40/40 WL16	N/A	40/40 WL26	N/A	75/75 WL35	71/71 WL39	N/A
220304	40/40 WL16	N/A	40/40 WL25	N/A	75/75 WL36	71/71 WL38	N/A
220305	40/40 WL16	N/A	40/40 WL24	N/A	75/75 WL36	71/71 WL38	N/A
220307	40/40 WL16	N/A	40/40 WL24	N/A	75/75 WL36	71/71 WL34	N/A
220308	40/40 WL15	N/A	40/40 WL22	N/A	75/75 WL36	71/71 WL33	N/A
220310	40/40 WL14	1/20	40/40 WL19	6/20	75/75 WL18	71/71 WL20	0/50 WL55
220311	40/40 WL12	3/20	40/40 WL19	10/20	75/75 WL18	71/71 WL19	50/50 WL5
220312	40/40 WL11	3/20	40/40 WL18	13/20	75/75 WL17	71/71 WL18	50/50 WL8
220314	40/40 WL11	4/20	40/40 WL15	17/20	75/75 WL16	71/71 WL18	50/50 WL9
220316	40/40 WL10	5/20	40/40 WL15	20/20	75/75 WL16	71/71 WL18	50/50 WL11
220317	40/40 WL9	10/20	40/40 WL14	20/20 WL1	75/75 WL16	71/71 WL18	49/50 WL12
220321	40/40 WL8	12/20	40/40 WL14	20/20 WL2	75/75 WL16	71/71 WL18	50/50 WL11
220323	40/40 WL7	14/20	40/40 WL14	19/20 WL2	75/75 WL16	71/71 WL18	50/50 WL10
220324	40/40 WL7	14/20	40/40 WL14	20/20 WL1	75/75 WL16	71/71 WL18	49/50 WL11
220328	40/40 WL4	20/20 WL1	40/40 WL11	20/20 WL2	75/75 WL16	71/71 WL16	50/50 WL9
220328	40/40 WL6	20/20 WL5	40/40 WL12	20/20 WL4	75/75 WL17	70/71 WL16	50/50 WL11
220330	39/40 WL7	18/20 WL6	39/40 WL10	19/20 WL5	75/75 WL15	71/71 WL15	50/50 WL11
220331	40/40 WL5	19/20 WL5	40/40 WL7	20/20 WL4	75/75 WL14	71/71 WL17	50/50 WL11
220404	40/40 WL5	20/20 WL4	40/40 WL6	20/20 WL3	75/75 WL13	71/71 WL14	50/50 WL9
220405	40/40 WL4	20/20 WL4	40/40 WL6	19/20 WL3	74/75 WL13	71/71 WL14	50/50 WL9
220406	40/40 WL4	20/20 WL3	40/40 WL4	20/20 WL2	75/75 WL11	71/71 WL11	50/50 WL9
220407	40/40 WL3	20/20 WL2	40/40 WL3	20/20 WL2	75/75 WL9	71/71 WL11	50/50 WL8
220408	40/40 WL2	20/20	40/40 WL2	19/20 WL1	75/75 WL7	71/71 WL10	50/50 WL7
