DATE	A01	A02	A03	B01	B02	B03
220204	0/35	0/35	N/A	0/35	0/35	N/A
220212	0/35	0/35	N/A	1/35	0/35	N/A
220213	2/35	2/35	N/A	7/35	2/35	N/A
220214	3/35	2/35	N/A	9/35	2/35	N/A
220215	11/35	4/35	N/A	34/35	10/35	N/A
220216	28/35	8/35	N/A	35/35	35/35	N/A
220216	35/35	15/35	N/A	35/35	35/35	N/A
220217	35/35	16/35	N/A	35/35	35/35	N/A
220218	35/35	18/35	N/A	35/35	35/35	N/A
220221	35/35	24/35	N/A	35/35 WL1	35/35	N/A
220222	35/35	23/35	N/A	35/35 WL2	35/35 WL1	N/A
220223	35/35 WL2	35/35 WL2	N/A	35/35 WL8	35/35 WL8	N/A
220224	35/35 WL4	35/35 WL5	N/A	35/35 WL12	35/35 WL11	N/A
220225	35/35 WL5	35/35 WL6	N/A	35/35 WL16	35/35 WL15	N/A
220226	35/35 WL7	35/35 WL7	N/A	35/35 WL16	35/35 WL16	N/A
220227	35/35 WL7	35/35 WL8	N/A	35/35 WL16	35/35 WL16	N/A
220228	35/35 WL8	35/35 WL7	N/A	35/35 WL16	35/35 WL16	N/A
220301	35/35 WL8	35/35 WL7	N/A	35/35 WL16	35/35 WL15	N/A
220305	35/35 WL8	35/35 WL8	N/A	35/35 WL16	35/35 WL14	N/A
220306	35/35 WL8	35/35 WL8	N/A	35/35 WL16	35/35 WL15	N/A
220308	34/35 WL7	35/35 WL7	1/0	35/35 WL11	35/35 WL12	7/0 WL3
220309	35/35 WL2	35/35 WL4	7/0	35/35 WL9	35/35 WL7	15/0 WL5
