DATE	A01	A02	A03
220204	0/60	0/60	0/60
220212	2/60	1/60	0/60
220213	8/60	3/60	0/60
220215	16/60	4/60	0/60
220216	30/60	7/60	0/60
220216	60/60	15/60	1/60
220217	60/60	25/60	3/60
220218	60/60	42/60	5/60
220219	60/60	44/60	6/60
220221	60/60 WL1	48/60	6/60
220222	60/60 WL1	49/60	6/60
220223	60/60 WL1	58/60	15/60
220224	60/60 WL4	60/60 WL2	35/60
220225	60/60 WL5	60/60 WL6	60/60 WL6
220226	60/60 WL7	60/60 WL6	60/60 WL5
220227	60/60 WL7	60/60 WL7	60/60 WL6
220228	60/60 WL6	60/60 WL7	60/60 WL6
220301	60/60 WL6	60/60 WL7	59/60 WL6
220302	60/60 WL7	60/60 WL7	60/60 WL5
220304	60/60 WL8	60/60 WL7	60/60 WL5
