DATE	A00	B00	C00
220204	0/35	0/35	0/30
220212	2/35	0/35	0/30
220213	6/35	1/35	0/30
220214	7/35	1/35	1/30
220215	10/35	7/35	12/30
220216	11/35	10/35	17/30
220216	14/35	14/35	24/30
220217	14/35	15/35	25/30
220218	18/35	19/35	29/30
220220	18/35	19/35	30/30
220221	19/35	21/35	30/30
220221	24/35	32/35	30/30 WL2
220222	25/35	32/35	30/30 WL3
220223	35/35 WL4	35/35 WL5	30/30 WL7
220224	35/35 WL6	35/35 WL4	30/30 WL6
220225	35/35 WL7	35/35 WL6	30/30 WL8
220226	35/35 WL8	35/35 WL8	30/30 WL9
220228	35/35 WL7	35/35 WL8	30/30 WL9
220301	35/35 WL7	35/30 WL8	30/30 WL8
220302	35/35 WL7	33/30 WL8	30/30 WL8
220304	35/35 WL9	33/30 WL8	30/30 WL8
220307	35/35 WL10	33/30 WL8	30/30 WL8
220308	35/35 WL10	33/30 WL11	30/30 WL5
220309	35/35 WL9	33/30 WL11	30/30 WL5
220310	35/35 WL9	33/30 WL11	30/30 WL6
220311	35/35 WL9	33/30 WL11	30/30 WL7
220312	35/35 WL9	33/30 WL11	29/30 WL7
220314	35/35 WL10	33/30 WL11	30/30 WL5
220317	35/35 WL11	33/30 WL11	30/30 WL5
220321	35/35 WL11	33/30 WL10	30/30 WL6
