DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220212	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
220214	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0
220215	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0
220216	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0
220218	0	0	0	0	0	0	1	0	1	0	1	1	0	2	1	0	0	0	0	0	1	2	0	1	0	0	1	0
220221	0	0	0	0	0	0	1	0	1	0	1	1	0	2	1	1	0	0	0	0	1	2	0	1	0	0	1	0
220221	0	0	0	0	0	0	1	0	1	0	1	1	0	3	1	1	0	0	0	0	1	2	0	1	0	0	1	0
220222	0	0	0	0	0	0	1	0	1	0	2	1	0	3	1	1	0	0	0	0	1	2	0	1	0	0	1	0
220223	0	0	0	0	0	0	1	0	1	0	2	1	0	3	1	1	0	0	0	0	1	2	0	1	0	0	2	0
