DATE	A00	B00	C00
220204	0/20	0/20	0/20
220213	1/20	1/20	0/20
220216	1/20	1/20	1/20
220217	2/20	2/20	1/20
220218	13/20	3/20	7/20
220219	14/20	2/20	8/20
220225	16/20	2/20	8/20
220226	20/20	4/20	15/20
220227	20/20 WL1	4/20	15/20
220301	20/20 WL3	9/20	19/20
220302	20/20 WL3	9/20	20/20
220303	20/20 WL3	10/20	20/20
220304	20/20 WL3	11/20	20/20
220306	20/20 WL3	12/20	20/20 WL1
220307	20/20 WL3	13/20	20/20 WL1
220308	20/20 WL3	15/20	20/20 WL1
220309	20/20 WL3	17/20	20/20 WL1
220310	20/20 WL3	19/20	20/20 WL1
220311	20/20 WL2	20/20	20/20 WL2
220314	20/20 WL2	19/20	20/20 WL2
