DATE	A00
220204	0/400
220212	10/400
220213	22/400
220214	25/400
220215	35/400
220216	62/400
220216	117/400
220217	128/400
220218	161/400
220219	164/400
220221	165/400
220221	179/400
220222	180/400
220223	194/400
220224	208/400
220225	277/400
220226	300/400
220227	303/400
220228	308/400
220301	309/400
220302	312/400
220303	314/400
220305	313/400
220308	315/400
220309	313/400
220311	315/400
220312	316/400
220314	314/400
220316	311/400
220317	312/400
220321	309/400
220323	311/400
220324	315/400
220328	314/400
220328	317/400
220330	321/400
220331	323/400
220408	321/400
220410	320/400
220412	318/400
220417	315/400
220417	45/240
220417	33/240
220625	59/240
