DATE	A00	B00	C00
220204	0/30	N/A	N/A
220214	1/30	N/A	N/A
220216	4/30	N/A	N/A
220216	5/30	N/A	N/A
220217	6/30	N/A	N/A
220218	11/30	N/A	N/A
220221	12/30	N/A	N/A
220223	15/30	N/A	N/A
220224	19/30	N/A	N/A
220225	26/30	N/A	N/A
220226	28/30 WL5	N/A	N/A
220227	30/30 WL4	N/A	N/A
220301	29/30 WL5	N/A	N/A
220302	30/30 WL4	N/A	N/A
220303	29/30 WL4	N/A	N/A
220304	30/30 WL2	N/A	N/A
220308	30/30 WL1	N/A	N/A
220309	30/30	N/A	N/A
220311	30/30 WL1	N/A	N/A
220312	30/30 WL2	N/A	N/A
220321	30/30 WL3	N/A	N/A
220323	30/30 WL2	N/A	N/A
220324	28/30 WL1	N/A	N/A
220328	30/30	N/A	N/A
220330	26/30	N/A	N/A
220331	27/30	N/A	N/A
220404	28/30	N/A	N/A
220406	25/30	N/A	N/A
220408	26/30	N/A	N/A
220412	25/30	N/A	N/A
220417	23/30	N/A	N/A
220823	N/A	1/30	6/30
