DATE	A00	B00	C00
220204	0/150	0/85	0/85
220212	3/150	0/85	0/85
220213	7/150	1/85	1/85
220214	7/150	1/85	2/85
220215	13/150	2/85	4/85
220216	24/150	4/85	11/85
220216	40/150	6/85	14/85
220217	44/150	6/85	14/85
220218	72/150	10/85	28/85
220221	86/150	11/85	32/85
220222	87/150	11/85	33/85
220223	110/150	17/85	42/85
220224	137/150	23/85	51/85
220225	150/150 WL25	41/85	85/85 WL5
220226	150/150 WL32	85/85 WL4	85/85 WL13
220227	150/150 WL30	85/85 WL8	85/85 WL14
220228	150/150 WL31	85/85 WL8	85/85 WL14
220301	150/150 WL29	85/85 WL10	85/85 WL16
220302	150/150 WL29	85/85 WL12	85/85 WL15
220303	150/150 WL28	85/85 WL13	85/85 WL14
220304	150/150 WL28	85/85 WL13	85/85 WL13
220305	150/150 WL28	85/85 WL12	85/85 WL13
220306	150/150 WL28	85/85 WL13	85/85 WL13
220308	150/150 WL26	85/85 WL12	85/85 WL12
220309	149/150 WL26	85/85 WL14	85/85 WL12
220310	150/150 WL25	85/85 WL12	85/85 WL12
220311	150/150 WL25	85/85 WL13	85/85 WL12
220312	150/150 WL25	85/85 WL12	85/85 WL12
220314	150/150 WL24	84/85 WL10	85/85 WL12
220316	150/150 WL24	85/85 WL10	85/85 WL11
