DATE	A01	B01
220204	0/75	0/75
220212	0/75	1/75
220213	4/75	5/75
220214	5/75	7/75
220215	16/75	12/75
220216	22/75	13/75
220216	24/75	16/75
220221	30/75	18/75
220222	34/75	20/75
220223	53/75	38/75
220224	58/75	45/75
220225	69/75	47/75
220226	73/75	50/75
220227	73/75	52/75
220228	75/75	53/75
220301	75/75 WL2	58/75
220302	75/75 WL1	60/75
220303	75/75 WL1	61/75
220304	75/75 WL1	63/75
220305	75/75	63/75
220308	73/75	62/75
220311	74/75	62/75
220312	74/75	63/75
220314	72/75	64/75
220316	72/75	63/75
220317	72/75	65/75
220321	71/75	66/75
220323	70/75	64/75
220324	69/75	64/75
220328	65/75	65/75
220328	66/75	74/75
220330	74/75 WL2	70/75 WL6
220331	74/75	71/75
220404	75/75 WL1	75/75 WL1
220405	74/75 WL1	75/75 WL1
