DATE	A01	A02
220204	0/44	0/44
220212	1/44	0/44
220213	8/44	0/44
220214	10/44	0/44
220215	26/44	1/44
220216	42/44	2/44
220216	44/44	2/44
220218	44/44	3/44
220221	44/44 WL1	4/44
220222	44/44 WL1	6/44
220223	44/44 WL3	10/44
220224	44/44 WL4	12/44
220225	44/44 WL5	14/44
220227	44/44 WL5	15/44
220301	44/44 WL5	16/44
220302	44/44 WL5	15/44
220303	44/44 WL4	14/44
220306	44/44 WL4	15/44
220309	44/44 WL4	16/44
220316	44/44 WL5	16/44
220321	44/44 WL4	16/44
220328	44/44 WL2	19/44
220330	42/44 WL3	22/44
220331	43/44	23/44
220404	43/44	22/44
