DATE	001	002	003	004	005	006	007	008	009	010	011
220204	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	N/A
220212	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	N/A
220214	0/3	0/3	0/3	0/3	1/3	0/3	0/3	0/3	2/3	0/3	N/A
220215	0/3	0/3	1/3	0/3	1/3	0/3	0/3	0/3	2/3	0/3	N/A
220216	0/3	0/3	1/3	0/3	1/3	0/3	1/3	0/3	2/3	0/3	N/A
220217	0/3	1/3	1/3	0/3	1/3	0/3	1/3	0/3	2/3	0/3	N/A
220226	0/3	1/3	0/3	0/3	1/3	0/3	1/3	0/3	2/3	0/3	N/A
220301	0/3	1/3	0/3	2/3	1/3	0/3	1/3	0/3	2/3	0/3	N/A
220302	0/3	1/3	0/3	2/3	1/3	0/3	1/3	0/3	2/3	0/3	0/4
220312	0/3	1/3	0/3	2/3	1/3	1/3	1/3	0/3	2/3	0/3	1/4
